region,province,locality,zip_code,property_type,property_subtype,price,living_area,number_rooms,kitchen,kitchen_score,building_state,building_score,has_garden,has_terrace,has_pool,has_fireplace,number_facades,furnished,price_per_sqm,predicted_price,valuation_gap,valuation_gap_pct
Flanders,Antwerp,Mechelen,2800,HOUSE,MANSION,498000.0,263.0,4.0,SEMI_EQUIPPED,1,GOOD,3.0,0,1,0,0,3,0,1893.536121673004,521030.0,-23030.0,-4.4200909736483505
Flanders,Flemish Brabant,Hofstade,1981,HOUSE,TOWN_HOUSE,379000.0,260.0,3.0,INSTALLED,2,GOOD,3.0,1,1,0,0,2,0,1457.6923076923076,596051.26,-217051.26,-36.41486472153419
Flanders,West Flanders,Knokke-Heist,8300,APARTMENT,APARTMENT,765000.0,75.0,2.0,HYPER_EQUIPPED,3,AS_NEW,5.0,0,1,0,0,2,0,10200.0,606338.589672619,158661.410327381,26.167130548799012
Flanders,West Flanders,Knokke-Heist,8300,APARTMENT,APARTMENT,1100000.0,110.0,3.0,HYPER_EQUIPPED,3,GOOD,3.0,0,1,0,0,2,0,10000.0,703526.5,396473.5,56.35516217228491
Flanders,West Flanders,Knokke-Heist,8300,APARTMENT,APARTMENT,865000.0,81.0,2.0,HYPER_EQUIPPED,3,JUST_RENOVATED,4.0,0,1,0,0,2,1,10679.012345679012,324659.19,540340.81,166.43324034659238
Flanders,Antwerp,Aartselaar,2630,APARTMENT,APARTMENT,229000.0,76.0,1.0,INSTALLED,2,JUST_RENOVATED,4.0,0,1,0,0,2,0,3013.157894736842,246450.5483333333,-17450.54833333331,-7.080750459410953
Flanders,East Flanders,Sint-Gillis-Waas,9170,HOUSE,HOUSE,375000.0,113.0,3.0,NOT_INSTALLED,0,GOOD,3.0,0,0,0,0,4,0,3318.5840707964603,369712.0,5288.0,1.430302505734193
Flanders,West Flanders,Knokke-Heist,8300,APARTMENT,DUPLEX,1495000.0,126.0,2.0,HYPER_EQUIPPED,3,GOOD,3.0,0,1,0,0,2,0,11865.079365079366,1155564.8575,339435.1425000001,29.373958570733024
Brussels,Brussels,Uccle,1180,HOUSE,HOUSE,1190000.0,369.0,5.0,USA_HYPER_EQUIPPED,3,GOOD,3.0,0,1,0,0,4,0,3224.932249322493,1427675.0,-237675.0,-16.647696429509516
Brussels,Brussels,Woluwe-Saint-Pierre,1150,HOUSE,HOUSE,1195000.0,234.0,4.0,INSTALLED,2,TO_BE_DONE_UP,2.0,1,1,0,0,3,0,5106.8376068376065,1080737.5,114262.5,10.572641367584636
Brussels,Brussels,BRUXELLES,1000,HOUSE,MIXED_USE_BUILDING,1200000.0,568.0,3.0,INSTALLED,2,JUST_RENOVATED,4.0,0,0,0,0,2,0,2112.676056338028,1492295.0,-292295.0,-19.586944940511092
Flanders,Flemish Brabant,Kraainem,1950,HOUSE,HOUSE,1200000.0,450.0,6.0,USA_INSTALLED,2,GOOD,3.0,1,1,0,0,4,0,2666.6666666666665,1298429.5,-98429.5,-7.580658018013301
Brussels,Brussels,SAINT-GILLES,1060,HOUSE,HOUSE,1250000.0,464.0,5.0,INSTALLED,2,AS_NEW,5.0,1,1,0,1,2,0,2693.9655172413795,1847877.5,-597877.5,-32.35482330403395
Flanders,Flemish Brabant,Kraainem,1950,HOUSE,HOUSE,1250000.0,264.0,5.0,INSTALLED,2,GOOD,3.0,1,1,0,1,4,0,4734.848484848485,1131335.0,118665.0,10.488935637985213
Flanders,Flemish Brabant,Kraainem,1950,HOUSE,HOUSE,1250000.0,264.0,5.0,INSTALLED,2,GOOD,3.0,1,1,0,0,4,0,4734.848484848485,1088690.0,161310.0,14.81689002379006
Brussels,Brussels,Etterbeek,1040,HOUSE,MIXED_USE_BUILDING,1295000.0,345.0,5.0,INSTALLED,2,GOOD,3.0,0,1,0,0,2,0,3753.623188405797,1187950.0,107050.0,9.011322025337767
Brussels,Brussels,NEDER-OVER-HEEMBEEK (BRU.),1120,HOUSE,APARTMENT_BLOCK,1350000.0,719.0,12.0,NOT_INSTALLED,0,TO_RENOVATE,1.0,0,1,0,0,3,0,1877.6077885952711,1688315.0,-338315.0,-20.038618385787014
